Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	turn_list
5	3	4	to mount montreux .	477	413	1	B	355, 477, 498, 765, 767	[355, 477, 498, 765, 767]
5	5	4	to mount neuchatel .	295	485	1	B	278, 295, 297, 760, 762	[278, 295, 297, 760, 762]
4	4	4	go to mount zurich	101	277	1	A	99, 101, 122, 375	[99, 101, 122, 375]
4	1	4	luzern to mount bern	43	390	1	B	42, 43, 429, 431	[42, 43, 429, 431]
4	4	4	mount bern and then	539	536	2	B	98, 123, 539, 633	[98, 123, 539, 633]
4	2	4	then mount basel .	146	106	1	B	98, 124, 146, 203	[98, 124, 146, 203]
3	1	4	and then mount basel	633	536	1	B	98, 124, 633	[98, 124, 633]
3	1	4	montreux to mount neuchatel	297	4	1	B	294, 295, 297	[294, 295, 297]
3	3	4	to mount bern ?	521	711	1	A	43, 521, 753	[43, 521, 753]
3	3	4	to mount bern then	146	96	1	A	108, 146, 203	[108, 146, 203]
2	2	4	finish at interlaken .	161	2	1	B	160, 161	[160, 161]
2	2	4	finish at mount interlaken	128	81	1	B	48, 128	[48, 128]
2	2	4	neuchatel to bern .	324	113	1	A	212, 324	[212, 324]
2	2	4	neuchatel to mount montreux	766	273	1	B	494, 766	[494, 766]
2	2	4	then mount bern .	185	14	1	B	172, 185	[172, 185]
2	2	4	to mount montreux ?	766	321	1	B	446, 766	[446, 766]
2	2	4	to mount zermatt ?	654	228	1	A	427, 654	[427, 654]
2	2	4	to mount zurich ?	375	267	1	B	109, 375	[109, 375]
2	2	4	uh mount montreux .	366	238	1	A	129, 366	[129, 366]
21	5	3	to mount bern	340	712	1	B	42, 43, 78, 108, 146, 192, 203, 209, 224, 340, 368, 371, 425, 429, 431, 461, 463, 521, 539, 654, 753	[42, 43, 78, 108, 146, 192, 203, 209, 224, 340, 368, 371, 425, 429, 431, 461, 463, 521, 539, 654, 753]
17	1	3	mount neuchatel to	357	588	1	B	78, 108, 110, 192, 209, 224, 288, 317, 333, 349, 357, 429, 494, 516, 542, 581, 665	[78, 108, 110, 192, 209, 224, 288, 317, 333, 349, 357, 429, 494, 516, 542, 581, 665]
16	9	3	mount saint gallen	105	627	3	B	66, 67, 84, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 692	[66, 67, 84, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 692]
15	9	3	to mount interlaken	516	690	9	B	71, 78, 192, 276, 288, 317, 333, 368, 429, 516, 542, 551, 581, 590, 760	[71, 78, 192, 276, 288, 317, 333, 368, 429, 516, 542, 551, 581, 590, 760]
15	7	3	to mount montreux	477	763	8	B	5, 20, 48, 141, 355, 429, 446, 458, 477, 489, 494, 498, 765, 766, 767	[5, 20, 48, 141, 355, 429, 446, 458, 477, 489, 494, 498, 765, 766, 767]
14	4	3	interlaken to mount	539	627	6	B	141, 304, 368, 371, 429, 446, 539, 555, 556, 609, 753, 760, 762, 767	[141, 304, 368, 371, 429, 446, 539, 555, 556, 609, 753, 760, 762, 767]
14	1	3	to mount zurich	368	410	1	A	99, 101, 105, 109, 122, 137, 322, 368, 375, 385, 429, 468, 505, 508	[99, 101, 105, 109, 122, 137, 322, 368, 375, 385, 429, 468, 505, 508]
11	8	3	to mount basel	108	601	1	B	68, 108, 110, 153, 209, 317, 368, 373, 429, 665, 668	[68, 108, 110, 153, 209, 317, 368, 373, 429, 665, 668]
11	2	3	to mount neuchatel	172	655	1	A	108, 110, 172, 278, 294, 295, 297, 429, 489, 760, 762	[108, 110, 172, 278, 294, 295, 297, 429, 489, 760, 762]
10	4	3	to mount luzern	507	265	1	A	427, 507, 544, 555, 556, 609, 661, 681, 686, 691	[427, 507, 544, 555, 556, 609, 661, 681, 686, 691]
10	6	3	to mount zermatt	427	352	3	B	304, 349, 425, 427, 429, 468, 476, 489, 654, 655	[304, 349, 425, 427, 429, 468, 476, 489, 654, 655]
9	2	3	mount montreux .	255	639	1	A	129, 255, 355, 366, 416, 477, 498, 765, 767	[129, 255, 355, 366, 416, 477, 498, 765, 767]
9	3	3	mount montreux to	329	467	1	B	294, 295, 329, 330, 429, 468, 489, 501, 760	[294, 295, 329, 330, 429, 468, 489, 501, 760]
8	1	3	montreux to mount	294	496	1	A	265, 294, 295, 297, 429, 468, 489, 760	[265, 294, 295, 297, 429, 468, 489, 760]
8	4	3	mount basel .	209	571	1	B	98, 124, 146, 203, 209, 373, 439, 668	[98, 124, 146, 203, 209, 373, 439, 668]
8	3	3	mount neuchatel .	289	511	2	B	252, 278, 289, 295, 297, 497, 760, 762	[252, 278, 289, 295, 297, 497, 760, 762]
8	1	3	mount zurich .	99	413	1	B	96, 99, 105, 137, 322, 385, 505, 508	[96, 99, 105, 137, 322, 385, 505, 508]
7	5	3	mount bern .	185	330	2	B	42, 172, 185, 192, 204, 224, 371	[42, 172, 185, 192, 204, 224, 371]
7	2	3	then mount basel	124	561	3	B	73, 98, 123, 124, 146, 203, 633	[73, 98, 123, 124, 146, 203, 633]
7	5	3	to mount davos	400	639	1	B	54, 398, 400, 429, 468, 503, 692	[54, 398, 400, 429, 468, 503, 692]
6	1	3	mount luzern .	556	273	1	B	419, 556, 609, 661, 681, 691	[419, 556, 609, 661, 681, 691]
5	1	3	bern and then	100	536	1	B	98, 100, 123, 539, 633	[98, 100, 123, 539, 633]
5	1	3	mount bern and	539	580	3	B	54, 98, 123, 539, 633	[54, 98, 123, 539, 633]
5	2	3	mount bern then	123	96	1	A	108, 123, 125, 146, 203	[108, 123, 125, 146, 203]
4	4	3	mount basel then	180	113	3	B	68, 73, 172, 180	[68, 73, 172, 180]
4	4	3	mount interlaken ?	495	411	2	B	110, 159, 495, 520	[110, 159, 495, 520]
4	2	3	then mount bern	185	118	3	B	68, 73, 172, 185	[68, 73, 172, 185]
3	3	3	erase mount basel	582	392	2	B	191, 581, 582	[191, 581, 582]
3	3	3	from mount interlaken	495	289	1	B	251, 495, 539	[251, 495, 539]
3	3	3	from mount neuchatel	206	504	1	B	78, 206, 581	[78, 206, 581]
3	3	3	mount bern mount	340	339	1	B	101, 340, 439	[101, 340, 439]
3	3	3	mount neuchatel ,	489	207	1	A	336, 489, 542	[336, 489, 542]
3	3	3	mount zurich ,	429	328	2	A	102, 336, 429	[102, 336, 429]
3	1	3	mount zurich ?	217	267	1	B	109, 217, 375	[109, 217, 375]
3	3	3	to interlaken .	356	335	1	A	23, 356, 357	[23, 356, 357]
2	2	3	and then bern	123	22	1	A	102, 123	[102, 123]
2	2	3	erase mount zurich	217	9	1	B	209, 217	[209, 217]
2	2	3	go to interlaken	357	22	1	A	336, 357	[336, 357]
2	2	3	how about interlaken	456	11	1	B	446, 456	[446, 456]
2	2	3	mount basel ?	582	430	1	B	153, 582	[153, 582]
2	2	3	mount montreux and	340	321	1	B	20, 340	[20, 340]
2	2	3	mount zermatt .	304	40	1	A	265, 304	[265, 304]
2	2	3	neuchatel to interlaken	580	223	1	A	358, 580	[358, 580]
2	2	3	to interlaken ,	358	355	1	B	4, 358	[4, 358]
2	2	3	to interlaken mount	543	208	1	A	336, 543	[336, 543]
2	2	3	to montreux .	362	103	1	B	260, 362	[260, 362]
2	2	3	zermatt and then	475	225	1	B	251, 475	[251, 475]
41	4	2	mount bern	127	712	1	B	42, 43, 54, 68, 73, 78, 98, 101, 108, 110, 123, 125, 127, 146, 172, 185, 192, 203, 204, 207, 209, 224, 273, 340, 368, 371, 425, 429, 431, 439, 458, 461, 463, 521, 539, 633, 654, 655, 661, 672, 753	[42, 43, 54, 68, 73, 78, 98, 101, 108, 110, 123, 125, 127, 146, 172, 185, 192, 203, 204, 207, 209, 224, 273, 340, 368, 371, 425, 429, 431, 439, 458, 461, 463, 521, 539, 633, 654, 655, 661, 672, 753]
41	12	2	mount interlaken	128	757	9	B	4, 20, 48, 68, 71, 78, 101, 110, 125, 128, 141, 155, 159, 192, 251, 260, 276, 288, 317, 333, 344, 346, 368, 371, 429, 460, 471, 495, 516, 520, 539, 542, 543, 551, 555, 556, 581, 590, 609, 753, 760	[4, 20, 48, 68, 71, 78, 101, 110, 125, 128, 141, 155, 159, 192, 251, 260, 276, 288, 317, 333, 344, 346, 368, 371, 429, 460, 471, 495, 516, 520, 539, 542, 543, 551, 555, 556, 581, 590, 609, 753, 760]
40	10	2	mount neuchatel	108	692	3	B	71, 78, 101, 108, 110, 125, 155, 172, 192, 206, 209, 224, 252, 278, 288, 289, 294, 295, 297, 317, 333, 336, 340, 342, 349, 350, 355, 357, 429, 489, 494, 497, 516, 542, 549, 581, 665, 667, 760, 762	[71, 78, 101, 108, 110, 125, 155, 172, 192, 206, 209, 224, 252, 278, 288, 289, 294, 295, 297, 317, 333, 336, 340, 342, 349, 350, 355, 357, 429, 489, 494, 497, 516, 542, 549, 581, 665, 667, 760, 762]
37	10	2	mount montreux	129	765	4	B	3, 5, 20, 48, 129, 141, 157, 159, 251, 255, 294, 295, 329, 330, 334, 335, 340, 342, 346, 355, 366, 416, 429, 446, 458, 465, 468, 477, 485, 489, 494, 498, 501, 760, 765, 766, 767	[3, 5, 20, 48, 129, 141, 157, 159, 251, 255, 294, 295, 329, 330, 334, 335, 340, 342, 346, 355, 366, 416, 429, 446, 458, 465, 468, 477, 485, 489, 494, 498, 501, 760, 765, 766, 767]
31	6	2	mount basel	108	601	4	B	68, 73, 98, 101, 108, 110, 123, 124, 125, 146, 153, 172, 180, 191, 192, 201, 203, 209, 317, 322, 368, 373, 385, 429, 436, 439, 581, 582, 633, 665, 668	[68, 73, 98, 101, 108, 110, 123, 124, 125, 146, 153, 172, 180, 191, 192, 201, 203, 209, 317, 322, 368, 373, 385, 429, 436, 439, 581, 582, 633, 665, 668]
25	7	2	mount zurich	99	441	3	B	68, 73, 96, 99, 101, 102, 105, 109, 122, 125, 134, 137, 207, 209, 217, 322, 336, 368, 375, 385, 429, 468, 469, 505, 508	[68, 73, 96, 99, 101, 102, 105, 109, 122, 125, 134, 137, 207, 209, 217, 322, 336, 368, 375, 385, 429, 468, 469, 505, 508]
24	2	2	neuchatel to	233	689	1	B	78, 108, 110, 192, 209, 212, 224, 233, 288, 317, 324, 333, 349, 357, 358, 362, 429, 494, 516, 542, 580, 581, 665, 766	[78, 108, 110, 192, 209, 212, 224, 233, 288, 317, 324, 333, 349, 357, 358, 362, 429, 494, 516, 542, 580, 581, 665, 766]
21	16	2	interlaken .	23	587	2	B	4, 20, 23, 48, 68, 78, 101, 108, 125, 160, 161, 276, 288, 342, 346, 349, 350, 356, 357, 551, 590	[4, 20, 23, 48, 68, 78, 101, 108, 125, 160, 161, 276, 288, 342, 346, 349, 350, 356, 357, 551, 590]
19	8	2	mount zermatt	265	405	2	B	251, 260, 265, 276, 304, 317, 336, 340, 349, 425, 427, 429, 464, 468, 476, 489, 543, 654, 655	[251, 260, 265, 276, 304, 317, 336, 340, 349, 425, 427, 429, 464, 468, 476, 489, 543, 654, 655]
18	1	2	mount luzern	340	650	2	B	42, 54, 340, 398, 419, 425, 427, 429, 431, 507, 544, 555, 556, 609, 661, 681, 686, 691	[42, 54, 340, 398, 419, 425, 427, 429, 431, 507, 544, 555, 556, 609, 661, 681, 686, 691]
17	1	2	saint gallen	105	627	4	B	66, 67, 84, 94, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 692	[66, 67, 84, 94, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 692]
16	2	2	interlaken to	457	627	6	B	141, 304, 368, 371, 429, 446, 457, 517, 539, 555, 556, 609, 753, 760, 762, 767	[141, 304, 368, 371, 429, 446, 457, 517, 539, 555, 556, 609, 753, 760, 762, 767]
15	6	2	bern .	102	397	1	B	42, 102, 107, 172, 180, 185, 192, 204, 205, 212, 219, 224, 324, 371, 438	[42, 102, 107, 172, 180, 185, 192, 204, 205, 212, 219, 224, 324, 371, 438]
13	6	2	mount davos	395	639	4	B	54, 67, 84, 394, 395, 398, 400, 429, 468, 503, 688, 690, 692	[54, 67, 84, 394, 395, 398, 400, 429, 468, 503, 688, 690, 692]
12	1	2	montreux .	471	639	1	A	129, 255, 260, 355, 362, 366, 416, 471, 477, 498, 765, 767	[129, 255, 260, 355, 362, 366, 416, 471, 477, 498, 765, 767]
12	1	2	montreux to	294	738	2	A	23, 265, 294, 295, 297, 329, 330, 429, 468, 489, 501, 760	[23, 265, 294, 295, 297, 329, 330, 429, 468, 489, 501, 760]
11	3	2	basel .	98	616	1	A	53, 98, 100, 124, 146, 183, 203, 209, 373, 439, 668	[53, 98, 100, 124, 146, 183, 203, 209, 373, 439, 668]
11	3	2	neuchatel .	289	641	3	B	123, 252, 278, 289, 295, 297, 497, 550, 760, 762, 763	[123, 252, 278, 289, 295, 297, 497, 550, 760, 762, 763]
9	1	2	zurich .	136	413	1	B	96, 99, 105, 136, 137, 322, 385, 505, 508	[96, 99, 105, 136, 137, 322, 385, 505, 508]
8	2	2	luzern .	397	296	1	B	396, 397, 419, 556, 609, 661, 681, 691	[396, 397, 419, 556, 609, 661, 681, 691]
6	1	2	basel to	576	469	1	A	108, 110, 322, 385, 429, 576	[108, 110, 322, 385, 429, 576]
6	2	2	interlaken ?	455	411	2	B	110, 159, 455, 456, 495, 520	[110, 159, 455, 456, 495, 520]
5	2	2	neuchatel ,	336	475	1	B	76, 336, 489, 542, 550	[76, 336, 489, 542, 550]
4	1	2	bern mount	340	339	2	B	101, 123, 340, 439	[101, 123, 340, 439]
4	4	2	neuchatel ?	329	386	1	A	206, 329, 587, 591	[206, 329, 587, 591]
4	4	2	to zermatt	279	513	1	B	5, 279, 501, 517	[5, 279, 501, 517]
4	2	2	zermatt .	265	497	1	B	5, 265, 304, 501	[5, 265, 304, 501]
3	3	2	basel ,	233	168	1	B	201, 233, 368	[201, 233, 368]
3	1	2	interlaken ,	358	355	2	B	4, 333, 358	[4, 333, 358]
3	1	2	then bern	180	79	1	A	102, 123, 180	[102, 123, 180]
3	1	2	to bern	324	225	2	A	100, 212, 324	[100, 212, 324]
3	3	2	to neuchatel	550	248	1	B	329, 550, 576	[329, 550, 576]
3	1	2	zermatt ?	654	376	2	A	279, 427, 654	[279, 427, 654]
3	1	2	zermatt and	475	225	2	B	251, 349, 475	[251, 349, 475]
2	2	2	then interlaken	108	33	1	B	76, 108	[76, 108]
64	3	1	interlaken	294	764	2	B	4, 20, 23, 48, 68, 71, 76, 78, 101, 108, 110, 125, 128, 141, 155, 159, 160, 161, 192, 251, 260, 276, 288, 294, 304, 317, 333, 336, 338, 342, 344, 346, 349, 350, 356, 357, 358, 368, 371, 429, 446, 455, 456, 457, 460, 471, 495, 516, 517, 520, 539, 542, 543, 551, 555, 556, 580, 581, 590, 609, 753, 760, 762, 767	[4, 20, 23, 48, 68, 71, 76, 78, 101, 108, 110, 125, 128, 141, 155, 159, 160, 161, 192, 251, 260, 276, 288, 294, 304, 317, 333, 336, 338, 342, 344, 346, 349, 350, 356, 357, 358, 368, 371, 429, 446, 455, 456, 457, 460, 471, 495, 516, 517, 520, 539, 542, 543, 551, 555, 556, 580, 581, 590, 609, 753, 760, 762, 767]
56	1	1	neuchatel	356	696	4	B	71, 76, 78, 101, 108, 110, 123, 125, 155, 172, 192, 206, 209, 212, 224, 233, 252, 278, 288, 289, 294, 295, 297, 317, 324, 329, 333, 336, 340, 342, 349, 350, 355, 356, 357, 358, 362, 429, 489, 494, 497, 516, 542, 549, 550, 576, 580, 581, 587, 591, 665, 667, 760, 762, 763, 766	[71, 76, 78, 101, 108, 110, 123, 125, 155, 172, 192, 206, 209, 212, 224, 233, 252, 278, 288, 289, 294, 295, 297, 317, 324, 329, 333, 336, 340, 342, 349, 350, 355, 356, 357, 358, 362, 429, 489, 494, 497, 516, 542, 549, 550, 576, 580, 581, 587, 591, 665, 667, 760, 762, 763, 766]
44	1	1	montreux	130	765	3	B	3, 5, 20, 23, 48, 129, 130, 141, 157, 159, 251, 255, 260, 265, 294, 295, 297, 329, 330, 334, 335, 340, 342, 346, 355, 362, 366, 416, 429, 446, 458, 465, 468, 471, 477, 485, 489, 494, 498, 501, 760, 765, 766, 767	[3, 5, 20, 23, 48, 129, 130, 141, 157, 159, 251, 255, 260, 265, 294, 295, 297, 329, 330, 334, 335, 340, 342, 346, 355, 362, 366, 416, 429, 446, 458, 465, 468, 471, 477, 485, 489, 494, 498, 501, 760, 765, 766, 767]
37	1	1	basel	254	616	1	A	53, 68, 73, 98, 100, 101, 108, 110, 123, 124, 125, 146, 153, 172, 180, 183, 191, 192, 201, 203, 209, 233, 254, 317, 322, 368, 373, 385, 429, 436, 439, 576, 581, 582, 633, 665, 668	[53, 68, 73, 98, 100, 101, 108, 110, 123, 124, 125, 146, 153, 172, 180, 183, 191, 192, 201, 203, 209, 233, 254, 317, 322, 368, 373, 385, 429, 436, 439, 576, 581, 582, 633, 665, 668]
24	3	1	luzern	421	650	1	B	42, 43, 54, 340, 396, 397, 398, 419, 421, 425, 427, 429, 431, 507, 509, 544, 555, 556, 609, 632, 661, 681, 686, 691	[42, 43, 54, 340, 396, 397, 398, 419, 421, 425, 427, 429, 431, 507, 509, 544, 555, 556, 609, 632, 661, 681, 686, 691]
21	4	1	gallen	105	629	5	B	66, 67, 73, 84, 94, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 684, 685, 692, 694	[66, 67, 73, 84, 94, 105, 125, 135, 368, 400, 429, 468, 505, 506, 630, 632, 681, 684, 685, 692, 694]
